season,club,budget_rel
2024,ASV,14.57258543646116
2024,BAR,18.224356268854322
2024,BAS,13.41441287699915
2024,BER,14.082896247357924
2024,IST,17.947116699245306
2024,MAD,20.513091311161713
2024,MCO,17.351311784606995
2024,MIL,18.4779979013049
2024,MUN,12.044711560931503
2024,OLY,22.081651289077183
2024,PAN,21.156912046227358
2024,PAR,12.499514055801248
2024,PRS,11.609445243718328
2024,RED,14.859045083848553
2024,TEL,14.19502999803649
2024,ULK,22.944357336699504
2024,VIR,15.219746111767574
2024,ZAL,12.926221089375877
2025,ASV,10.710210668026031
2025,BAR,20.912060860901867
2025,BAS,15.083941886375177
2025,DUB,15.83266014805925
2025,HTA,18.912623137367266
2025,IST,18.812443218012685
2025,MAD,19.083658439517176
2025,MCO,20.072612829337267
2025,MIL,19.876886638906594
2025,MUN,11.57704665573775
2025,OLY,29.8154103614299
2025,PAM,12.420035049221234
2025,PAN,25.934977929194684
2025,PAR,16.86237584035831
2025,PRS,10.45000847915911
2025,RED,19.24377105985879
2025,TEL,12.843309286377973
2025,ULK,15.53081007573875
2025,VIR,12.201540918671629
2025,ZAL,11.905702253048819
