club,season,gross_eur,net_eur
ברצלונה,2019,41.0,13.53
צסקא מוסקבה,2019,40.7,21.16
ריאל מדריד,2019,40.0,13.2
חימקי,2019,33.3,17.32
מילאנו,2019,31.0,10.54
פנרבחצה,2019,30.0,15.3
זניט,2019,26.7,13.88
אנדולו אפס,2019,24.0,12.24
"מכבי ת""א",2019,24.0,10.08
באיירן,2019,23.0,6.33
באסקוניה,2019,16.0,7.2
אולימפיאקוס,2019,16.0,5.76
ולנסיה,2019,15.0,4.95
פנאתינייקוס,2019,14.0,5.04
ז'לגיריס,2019,11.9,4.28
ASVEL,2019,11.4,2.85
אלבה ברלין,2019,11.0,3.03
הכוכב האדום,2019,8.3,4.23
ריאל מדריד,2024,45.0,20.5
פנאתינייקוס,2024,37.0,20.5
אולימפיאקוס,2024,37.0,20.5
אנדולו אפס,2024,34.5,17.2
פנרבחצה,2024,33.5,16.5
ברצלונה,2024,32.0,15.5
מילאנו,2024,39.0,14.5
הכוכב האדום,2024,22.0,14.4
מונקו,2024,29.4,13.5
פרטיזן,2024,23.0,13.2
וירטוס,2024,25.0,10.0
באיירן,2024,33.0,8.0
באסקוניה,2024,14.0,8.0
ז'לגיריס,2024,17.7,7.5
"מכבי ת""א",2024,19.0,6.5
ASVEL,2024,16.2,5.8
פריז,2024,18.9,5.6
אלבה ברלין,2024,14.6,4.1
פנאתינייקוס,2025,,26.75
אולימפיאקוס,2025,,22.25
"הפועל ת""א",2025,,19.75
דובאי,2025,,18.25
ריאל מדריד,2025,,18.0
פנרבחצה,2025,,16.5
אנדולו אפס,2025,,16.0
ברצלונה,2025,,15.0
ולנסיה,2025,,9.5
"מכבי ת""א",2025,,9.25
באיירן,2025,,9.0
ז'לגיריס,2025,,8.75
