season,team,score,name_he,name_el,player_code,il_games,il_min,il_pir,el_games,el_min,el_pir
2022,TEL,1.0,יפתח זיו,"ZIV, IFTAH",11220,26,17.6,10.5,6.0,6.7250000000000005,1.3333333333333333
2022,TEL,1.0,ג'יילן אדאמס,"ADAMS, JALEN",12056,14,21.6,12.6,23.0,15.849275362318842,4.652173913043479
2022,TEL,1.0,ג'ייק כהן,"COHEN, JAKE",5145,27,16.6,9.0,22.0,12.591666666666669,3.1818181818181817
2025,HTA,1.0,גיא פלטין,"PALATIN, GUY",13283,24,17.5,4.3,9.0,2.3722222222222222,0.2222222222222222
2024,TEL,1.0,ג'ייק כהן,"COHEN, JAKE",5145,23,12.4,6.1,23.0,9.506521739130434,2.608695652173913
2025,HTA,1.0,איתי שגב,"SEGEV, ITAY",4161,19,9.9,6.1,1.0,2.9833333333333334,-2.0
2025,HTA,1.0,ים מדר,"MADAR, YAM",11052,19,23.9,15.0,14.0,10.304761904761904,3.142857142857143
2023,TEL,1.0,ג'ייק כהן,"COHEN, JAKE",5145,29,17.6,9.5,30.0,9.945555555555556,1.7666666666666666
2022,TEL,0.933,ג'רל מרטין,"MARTIN, JARELL",11967,23,17.8,8.5,33.0,19.71060606060606,6.575757575757576
2023,TEL,0.923,תמיר בלאט,"BLATT, TAMIR",11193,24,21.8,11.0,32.0,18.2828125,7.5
2024,TEL,0.923,תמיר בלאט,"BLATT, TAMIR",11193,20,21.8,10.8,26.0,24.183333333333334,11.653846153846152
2024,TEL,0.923,ג'יילן הורד,"HOARD, JAYLEN",6835,17,25.5,18.7,24.0,30.64027777777778,17.541666666666668
2025,TEL,0.923,תמיר בלאט,"BLATT, TAMIR",11193,22,18.4,10.6,38.0,19.42982456140351,8.842105263157896
2025,TEL,0.923,ג'ימי קלארק,"CLARK III, JIMMY",13699,23,22.1,12.7,37.0,19.71936936936937,8.594594594594595
2025,TEL,0.923,ג'יילן הורד,"HOARD, JAYLEN",6835,20,22.7,15.6,35.0,28.810952380952376,16.142857142857142
2023,TEL,0.909,רפי מנקו,"MENCO, RAFI",4233,26,21.9,8.6,20.0,8.263333333333334,1.65
2025,HTA,0.909,בר טימור,"TIMOR, BAR",4846,22,22.4,11.0,8.0,7.004166666666666,2.25
2022,TEL,0.909,רפי מנקו,"MENCO, RAFI",4233,27,20.7,5.7,20.0,5.628333333333333,0.85
2023,TEL,0.909,אנטוניוס קליבלנד,"CLEVELAND, ANTONIUS",12744,17,20.1,11.5,33.0,13.4489898989899,4.303030303030303
2024,TEL,0.909,רפי מנקו,"MENCO, RAFI",4233,24,16.6,6.5,14.0,8.876190476190477,2.5
2023,TEL,0.889,עומר מאייר,"MAYER, OMER",11433,21,12.5,3.7,5.0,3.056666666666666,0.0
2022,TEL,0.889,לורנזו בראון,"BROWN, LORENZO",9622,14,22.7,9.9,30.0,31.53444444444444,16.733333333333334
2025,TEL,0.889,גור לביא,"LAVI, GUR",14120,17,17.3,10.4,15.0,11.253333333333334,3.333333333333333
2022,TEL,0.875,דארן היליארד,"HILLIARD, DARRUN",8989,15,17.9,9.5,27.0,12.52530864197531,3.6666666666666665
2025,TEL,0.875,רומן סורקין,"SORKIN, ROMAN",11219,24,20.7,14.2,38.0,22.906578947368423,14.105263157894736
2023,TEL,0.875,רומן סורקין,"SORKIN, ROMAN",11219,24,23.4,19.0,28.0,17.030357142857145,7.071428571428571
2022,TEL,0.875,רומן סורקין,"SORKIN, ROMAN",11219,27,18.0,15.8,32.0,16.754166666666666,9.375
