player_code,player_name,position
10063,"NIKOLAIDIS, ALEXANDROS",G
10093,"SYKES, KEIFER",G
10106,"NUNEZ, JUAN",G
10316,"AJINCA, MELVIN",F
10357,"YABUSELE, GUERSCHON",F
10385,"LAMMERS, BEN",C
10390,"HAYES, KEVARRIUS",C
10391,"WEILER-BABB, NICK",G
10392,"LARENTZAKIS, GIANNOULIS",G
10393,"PRADILLA, JAIME",F
10400,"ONCEL, RIDVAN",G
10444,"COSTELLO, MATTHEW",C
10516,"GAZI, ERTEN",G
10545,"SAKO, NEAL",C
10560,"PIERRE, DYSHAWN",F
10568,"JONES, CHRIS",G
10588,"BROWN III, JOHN",F
10612,"CANAAN, ISAIAH",G
10623,"ALOCEN, CARLOS",G
10641,"NNAJI, JAMES",C
10750,"DE LARREA, SERGIO",G
10754,"MARI, LUCAS",G
10781,"LUNDBERG, IFFE",G
10791,"KOUMADJE, KHALIFA",C
10985,"TOPIC, NIKOLA",G
11050,"KOPRIVICA, BALSA",C
11051,"SMAILAGIC, ALEN",F
11052,"MADAR, YAM",G
11064,"MANNION, NICCOLO",G
11078,"THOMPSON, DARIUS",G
11085,"ROGKAVOPOULOS, NIKOLAOS",F
11157,"MOTLEY, JOHNATHAN",C
11192,"SMITH, JALEEN",G
11193,"BLATT, TAMIR",G
11194,"PETRUSEV, FILIP",F
11196,"HALL, DONTA",C
11199,"NEBO, JOSH",C
11201,"HAZER, SEHMUS",G
11204,"GRANT, JERIAN",G
11205,"HALL, DEVON",G
11209,"KALAITZAKIS, PANAGIOTIS",F
11212,"OKOBO, ELIE",G
11214,"RIVERO, JASIEL",F
11218,"EVANS, KEENAN",G
11219,"SORKIN, ROMAN",C
11221,"ANTETOKOUNMPO, KOSTAS",C
11224,"NAPIER, SHABAZZ",G
11225,"LEE, PARIS",G
11226,"DIALLO, ALPHA",F
11231,"BLOSSOMGAME, JARON",F
11244,"DA SILVA, OSCAR",F
11247,"FELIZ, ANDRES",G
11286,"BACON, DWAYNE",F
1133,"SHENGELIA, TORNIKE",F
11433,"MAYER, OMER",G
11442,"SAMODUROV, ALEXANDROS",F
11631,"RAPIEQUE, ELIAS",G
11649,"GONZALEZ, HUGO",F
11666,"SARR, DAME",G
11816,"AKELE, NICOLA",F
11836,"MIKE, ISIAHA",F
11934,"WETZELL, YANNI",C
11935,"MAKOUNDOU, YOAN",F
11941,"GILLESPIE, FREDDIE",C
11948,"HOWARD, MARKUS",G
11949,"HOMMES, DAULTON",F
11964,"ILIC, DALIBOR",F
11965,"MITROU-LONG, NAZ",G
11970,"HARPER, JARED",G
11971,"WEBB III, JAMES",F
11980,"SESTINA, NATHAN",F
11981,"JONES, TYRIQUE",C
11982,"OJELEYE, SEMI",F
11983,"BRAZDEIKIS, IGNAS",F
11987,"EDWARDS, CARSEN",G
12023,"PAPAS, GEORGE",G
12044,"DOS SANTOS, YAGO",G
12080,"LUWAWU-CABARROT, TIMOTHE",F
12096,"CABOCLO, BRUNO",C
12123,"KHARCHENKOV, IVAN",F
12167,"BOSNJAKOVIC, MITAR",F
12201,"MONEKE, CHIMA",F
12365,"HRABAR, VIT",F
12515,"TARPEY, TERRY",F
1255,"PAPANIKOLAOU, KOSTAS",F
12585,"MORGAN, MATTHEW",G
12597,"BALDWIN, KAMAR",G
12608,"SHORTS, TJ",G
12609,"MALCOLM, COLLIN",F
1261,"LACOMBE, PAUL",G
12610,"WARD, TYSON",F
12611,"HERRERA, SEBASTIAN",G
12612,"SHAHRVIN, ENZO",C
12613,"JANTUNEN, MIKAEL",F
12640,"HIFI, NADIR",G
12710,"OSMANI, ERCAN",F
12712,"HERNANGOMEZ, JUANCHO",F
12715,"MANEK, BRADY",F
12720,"BROWN, STERLING",G
12721,"BEAN, JUSTIN",F
12731,"NDIAYE, MBAYE",C
12738,"REUVERS, NATHAN",F
12742,"DOZIER, PJ",G
12745,"PARKER, JABARI",F
12774,"NUNN, KENDRICK",G
12786,"DAUM, MIKE",F
12788,"OTURU, DAN",C
12795,"ANDERSON, JUSTIN",F
12878,"WRIGHT, MOSES",C
1288,"LUCIC, VLADIMIR",F
1324,"MUHAMMED, ALI",G
13363,"NWORA, JORDAN",F
13367,"FORREST, TRENT",G
13369,"JONES, CARLIK",G
13370,"WASHINGTON, DUANE",G
13371,"HARRISON, SHAQUILLE",G
13373,"CAVALIERE, LEOPOLD",F
13374,"DIOUF, MOUHAMET",C
13378,"RATHAN-MAYES, XAVIER",G
13380,"FOURNIER, EVAN",G
13381,"RAYMAN, WILLIAM",F
13382,"RANDOLPH, LEVI",G
13383,"GABRIEL, WENYEN",C
13384,"BROOKS, ARMONI",G
13385,"DIOP, OUSMANE",F
13386,"MCCORMACK, DAVID",C
13389,"LEE, SABEN",G
13403,"WALKER IV, LONNIE",G
13667,"FERNANDO, BRUNO",C
13699,"CLARK III, JIMMY",G
1389,"VORONOV, EVGENY",G
1392,"CAUSEUR, FABIEN",G
1518,"RICCI, GIAMPAOLO",F
1557,"GIFFEY, NIELS",F
1792,"ZAITCEV, VIACHESLAV",G
1833,"MOERMAN, ADRIEN",F
1844,"HACKETT, DANIEL",G
1887,"LANGFORD, KEITH",G
1926,"SLOUKAS, KOSTAS",G
1932,"CALATHES, NICK",G
1933,"BOGRIS, GEORGIOS",C
1948,"SERAPHIN, KEVIN",C
1954,"VALIEV, EVGENY",F
1960,"CARROLL, JAYCEE",G
2008,"KUZMINSKAS, MINDAUGAS",F
2084,"POLONARA, ACHILLE",F
2100,"DE COLO, NANDO",G
2276,"KULAGIN, MIKHAIL",G
229,"JACKSON, EDWIN",G
2328,"GRIGONIS, MARIUS",G
2329,"ULANOVAS, EDGARAS",F
2361,"VIVES, GUILLEM",G
2429,"RIVERS, KC",F
2507,"TOMIC, ANTE",C
2536,"JEAN-CHARLES, LIVIO",F
2543,"WESTERMANN, LEO",G
2553,"MITROVIC, LUKA",F
2561,"RADICEVIC, NIKOLA",G
2580,"MICIC, VASILIJE",G
2581,"JAITEH, MAM",C
2582,"TOUPANE, AXEL",F
2661,"PREPELIC, KLEMEN",G
2676,"BUTKEVICIUS, ARNAS",F
2742,"DUBLJEVIC, BOJAN",C
2744,"TILLIE, KIM",F
2763,"DOORNEKAMP, AARON",F
2812,"HINES, KYLE",C
2849,"MELLI, NICOLO",F
2925,"TUNCER, BUGRAHAN",G
2936,"SASTRE, JOAN",G
2939,"SATORANSKY, TOMAS",G
2968,"SANLI, SERTAC",C
2969,"MAHMUTOGLU, MELIH",G
2972,"ROCHESTIE, TAYLOR",G
2980,"GIST, JAMES",F
3024,"GRANGER, JAYSON",G
3048,"DUNSTON, BRYANT",C
3067,"JERRELLS, CURTIS",G
3091,"BIRSEN, METECAN",F
3108,"HEZONJA, MARIO",F
3120,"GUDAITIS, ARTURAS",C
3151,"ERIKSSON, MARCUS",G
3196,"HERNANGOMEZ, WILLY",C
3198,"DIEZ, DANIEL",F
3204,"PAULI,  ORIOL",F
3210,"LEKAVICIUS, LUKAS",G
3211,"DIMSA, TOMAS",G
3240,"BOCHORIDIS, ELEFTHERIOS",G
3264,"JOVANOVIC, NIKOLA",C
3332,"IVANOVIC, NIKOLA",G
3367,"RICE, TYRESE",G
3370,"PUSHKOV, ANTON",C
3413,"JACKSON, AARON",G
3452,"BLAZIC, JAKA",G
3453,"THOMPSON, DEON",F
3469,"VEZENKOV, SASHA",F
3478,"ABRINES, ALEX",F
3479,"KUZMIC, OGNJEN",C
3490,"BARTHEL, DANILO",F
3514,"DRAGIC, ZORAN",G
3521,"BALBAY, DOGUS",G
3526,"LIGHTY, DAVID",G
3527,"ABASS, AWUDU",F
3537,"MANTZARIS, VANGELIS",G
3540,"DIOP, ILIMANE",C
3573,"ZUBKOV, ANDREY",F
3583,"IBAKA, SERGE",C
3608,"LOJESKI, MATT",F
3733,"ABALDE, ALBERTO",F
3842,"LESSORT, MATHIAS",C
3941,"MILUTINOV, NIKOLA",C
3958,"THIEMANN, JOHANNES",F
3983,"AVRAMOVIC, ALEKSA",G
399,"KAVALIAUSKAS, ANTANAS",C
4004,"GUDURIC, MARKO",G
4007,"DOBRIC, OGNJEN",F
4058,"JARAMAZ, OGNJEN",G
4088,"OSMAN, CEDI",F
4094,"DEMIR, BERK",F
4117,"BROOKS, JEFF",F
4119,"TYUS, ALEX",C
4132,"THEIS, DANIEL",C
4161,"SEGEV, ITAY",C
4165,"JANNING, MATT",G
4172,"PONITKA, MATEUSZ",F
4178,"KOPONEN, PETTERI",G
4194,"LAUVERGNE, JOFFREY",C
4197,"OUATTARA, YAKUBA",G
4218,"CHARALAMPOPOULOS, VASILIS",F
4222,"OMIC, ALEN",C
4233,"MENCO, RAFI",F
4251,"THOMAS, MALCOLM",F
4264,"BOST, DEE",G
4292,"TOLIOPOULOS, VASSILIS",G
4302,"KARASEV, SERGEY",F
4331,"DELANEY, MALCOLM",G
436,"BERTANS, DAIRIS",G
4397,"JAGODIC-KURIDZA, MARKO",F
4425,"BROWN, DERRICK",F
4429,"AGRAVANIS, DIMITRIS",F
4499,"FONTECCHIO, SIMONE",F
