season,club,n_roster,q_club
2019,ASV,13,83.93216077777491
2019,BAR,15,103.75005921119778
2019,BAS,13,83.94426260057449
2019,BER,14,100.22146666058391
2019,CSK,15,96.7894532035823
2019,DYR,12,85.18685694096673
2019,IST,16,109.63784313526752
2019,KHI,14,104.79732499935096
2019,MAD,15,116.48716180867854
2019,MIL,15,93.08497110341517
2019,MUN,15,84.75725569492757
2019,OLY,16,102.36622726220999
2019,PAM,15,100.91434815159919
2019,RED,15,88.38611293952825
2019,TEL,15,97.97573765471795
2019,ULK,15,89.92401597558214
2019,ZAL,14,92.83804622376715
2024,ASV,17,100.75366166402485
2024,BAR,16,107.20473914641683
2024,BAS,15,105.17839559611767
2024,BER,20,91.29009443386236
2024,IST,16,112.23118917550518
2024,MAD,17,106.34159772771896
2024,MCO,16,103.81638451657136
2024,MIL,17,105.29228865514382
2024,MUN,16,103.44085006467614
2024,OLY,16,114.54680807240901
2024,PAN,17,116.88979441854883
2024,PAR,15,100.8873786847468
2024,PRS,15,101.07963265572403
2024,RED,16,102.80294350815888
2024,TEL,15,96.40663479859504
2024,ULK,19,96.84392690295458
2024,VIR,15,100.32943179742774
2024,ZAL,17,93.66951941373044
2025,ASV,15,82.13685618087318
2025,BAR,16,101.95399526052351
2025,BAS,19,104.35555433358081
2025,DUB,19,112.98495427241697
2025,HTA,17,110.09696631969152
2025,IST,17,91.24297945816387
2025,MAD,16,118.98024590548935
2025,MCO,13,110.94063957944178
2025,MIL,18,102.89371170611753
2025,MUN,16,93.97243664141058
2025,OLY,18,124.63669951185835
2025,PAM,16,112.10958356759087
2025,PAN,18,109.0916029964344
2025,PAR,20,98.80726329738796
2025,PRS,16,107.80950300522156
2025,RED,18,112.31936349268952
2025,TEL,16,106.10400301007694
2025,ULK,17,104.62817435087997
2025,VIR,16,102.27171495904284
2025,ZAL,14,112.43852828772617
