club,ratio,d_ratio,sd_q
IST,0.6795001503355051,-0.11909043996276336,9.340256473583551
PAM,0.7143431591178733,-0.08424743118039524,9.77344740669824
ZAL,0.726342799855781,-0.07224779044248753,9.760060014428872
PAR,0.7786706396235122,-0.01991995067475627,9.5787084380666
MIL,0.7907140848701928,-0.00787650542807572,9.884961480767698
MCO,0.7957520807046206,-0.002838509593647953,9.815658942414384
PAN,0.7966013233972732,-0.0019892669009953234,9.865535627735683
TEL,0.7976797309396407,-0.0009108593586277802,9.90302231799673
DUB,0.7986186991709716,2.8108872703103138e-05,9.73634451007441
RED,0.8013771215789207,0.0027865312806522047,9.867868370665633
MAD,0.8038822978731103,0.005291707574841764,9.342280172634556
MUN,0.8082374206946802,0.009646830396411676,9.505406479899465
BAR,0.8107725015037681,0.012181911205499607,9.86747222155079
HTA,0.8115572568871523,0.01296666658888379,9.84096841576088
OLY,0.8185644737463387,0.019973883448070162,8.710611296264753
VIR,0.8229284644019398,0.024337874103671275,9.87380479682872
PRS,0.8336254568054798,0.035034866507211326,9.888108196454755
BAS,0.8355155101067416,0.03692491980847312,9.900469204065503
ULK,0.8579093707527156,0.05931878045444705,9.765904809161313
ASV,0.8719775996775444,0.07338700937927589,8.415718684430768
