season,club,side,w,u,n
2024,ASV,club,21.980335286011904,18.31938364965044,16.0
2024,ASV,engine,23.118254475713883,19.288438748396597,12.0
2024,BAR,club,22.285673064771064,19.88085787272635,16.0
2024,BAR,engine,23.192833761079402,18.851706415711785,12.0
2024,BAS,club,19.001116178876956,21.391519527305206,15.0
2024,BAS,engine,22.68619089625977,18.362404867210746,12.0
2024,BER,club,21.30805615601218,18.237963577952392,20.0
2024,BER,engine,21.919411904420294,18.201167221402418,12.0
2024,IST,club,20.393182136643773,19.294964988080913,16.0
2024,IST,engine,24.449819367541224,20.260309421939777,12.0
2024,MAD,club,21.404246677519883,21.954511257928125,16.0
2024,MAD,engine,24.049060286874315,19.774418874524038,12.0
2024,MCO,club,21.193271671125515,18.92472380560886,15.0
2024,MCO,engine,23.46557395242209,18.713551798661193,12.0
2024,MIL,club,21.890449084904944,20.904638697054818,18.0
2024,MIL,engine,24.40894131802865,19.96019482315455,12.0
2024,MUN,club,20.747320341057012,19.139126907023154,16.0
2024,MUN,engine,22.53604275528713,18.351487528759474,12.0
2024,OLY,club,21.171338681010152,18.428387375348713,17.0
2024,OLY,engine,24.819165269204934,20.159088353710487,12.0
2024,PAN,club,21.32569195559004,18.716699340865,16.0
2024,PAN,engine,24.40026967796021,20.020933736659895,12.0
2024,PAR,club,21.74388837844285,18.491325659792505,15.0
2024,PAR,engine,22.53604275528713,18.351487528759474,12.0
2024,PRS,club,23.522844951902457,17.052608873803052,15.0
2024,PRS,engine,22.572017322520196,18.443908811782055,12.0
2024,RED,club,21.551612012058644,19.820742294842656,14.0
2024,RED,engine,24.788914506695132,19.68163074435137,12.0
2024,TEL,club,21.646663048605053,19.090136140323125,19.0
2024,TEL,engine,23.65652807427161,19.438658356620795,12.0
2024,ULK,club,20.26340030260302,19.11994949287646,18.0
2024,ULK,engine,25.02410676019245,20.662462834258246,12.0
2024,VIR,club,21.251255116055802,18.806622396420106,14.0
2024,VIR,engine,24.877859084061527,20.525664904407613,12.0
2024,ZAL,club,24.053783667697406,20.418182813802932,17.0
2024,ZAL,engine,22.92235600034288,18.97189607187404,12.0
2025,ASV,club,20.313258507891774,20.223110595466505,15.0
2025,ASV,engine,22.618241376071822,22.033230842708296,12.0
2025,BAR,club,20.88680363678718,21.191412048104937,16.0
2025,BAR,engine,22.565014046875696,19.95904299025323,12.0
2025,BAS,club,22.495945663557603,20.331978080880663,19.0
2025,BAS,engine,23.26927784538107,22.164652513700535,12.0
2025,DUB,club,22.5933708700349,19.898548822948914,19.0
2025,DUB,engine,22.87864791751015,22.233134255107398,12.0
2025,HTA,club,23.00492999615455,18.44690550610641,17.0
2025,HTA,engine,22.512034738870838,19.877715931641337,12.0
2025,IST,club,19.007362649463655,19.63845762529795,17.0
2025,IST,engine,23.39020851444031,20.41753567663689,12.0
2025,MAD,club,22.67068498910242,17.224192033303357,16.0
2025,MAD,engine,22.512034738870838,19.877715931641337,12.0
2025,MCO,club,21.078217849131537,20.365584450047244,13.0
2025,MCO,engine,23.55055758351926,20.528951245445374,12.0
2025,MIL,club,21.901149953513368,17.56213394561218,18.0
2025,MIL,engine,23.278561932560628,20.715149475347364,12.0
2025,MUN,club,20.00484429490413,19.41375999624057,16.0
2025,MUN,engine,23.022627714991874,20.11055670234546,12.0
2025,OLY,club,20.287469066659156,16.511444905618664,20.0
2025,OLY,engine,23.527509604679416,20.4583016165566,12.0
2025,PAM,club,21.27678923009686,18.760846256244395,17.0
2025,PAM,engine,24.39248397455875,20.649112056318668,12.0
2025,PAN,club,21.438758714887722,18.595598066047437,18.0
2025,PAN,engine,23.07854485081878,18.91175134810593,12.0
2025,PAR,club,21.294918976325228,16.973183019445415,20.0
2025,PAR,engine,21.126988399141144,19.215260237883403,12.0
2025,PRS,club,22.696414470992227,17.976089469753422,16.0
2025,PRS,engine,22.54853964214252,19.743854804855598,12.0
2025,RED,club,21.694316758965087,17.92902489063145,17.0
2025,RED,engine,20.303398757520757,18.689446958623076,12.0
2025,TEL,club,21.936165073070853,19.183270292163222,16.0
2025,TEL,engine,23.469343287327277,22.09767612839215,12.0
2025,ULK,club,22.59116796709256,19.309338909936308,17.0
2025,ULK,engine,21.937808725996597,21.557512175828318,12.0
2025,VIR,club,22.57673646260674,17.864639036870802,16.0
2025,VIR,engine,19.91146949881405,18.73127116476716,12.0
2025,ZAL,club,21.214562725549598,18.59598255600473,14.0
2025,ZAL,engine,23.558872202707885,20.68707418138908,12.0
