season,club,usage,player_name_he,player_name_el,player_code,list_a,list_b,salary_low,salary_high,salary_mid,is_range,rel_spread,employer_cost,employer_multiple,currency,basis,league,confidence,is_israeli,fx_adjusted,contract_years,source,notes
2023,TEL,calibrate,לורנצו בראון,"BROWN, LORENZO",9622,1500000.0,1600000.0,1500000,1600000,1550000.0,1,0.0645,2000000.0,1.29,USD,net,EL,reported,0,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,וויד בולדווין,"BALDWIN IV, WADE",9863,1500000.0,1500000.0,1500000,1500000,1500000.0,0,0.0,1875000.0,1.25,USD,net,EL,reported,0,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,בונזי קולסון,"COLSON, BONZIE",9783,700000.0,900000.0,700000,900000,800000.0,1,0.25,1125000.0,1.406,USD,net,EL,reported,0,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,ג'וש ניבו,"NEBO, JOSH",11199,800000.0,800000.0,800000,800000,800000.0,0,0.0,1000000.0,1.25,USD,net,EL,reported,0,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,חסיאל ריברו,"RIVERO, JASIEL",11214,600000.0,600000.0,600000,600000,600000.0,0,0.0,750000.0,1.25,USD,net,EL,reported,0,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,ג'יימס ווב,"WEBB III, JAMES",11971,400000.0,500000.0,400000,500000,450000.0,1,0.2222,625000.0,1.389,USD,net,EL,reported,0,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,תמיר בלאט,"BLATT, TAMIR",11193,400000.0,400000.0,400000,400000,400000.0,0,0.0,800000.0,2.0,USD,net,EL,reported,1,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,ג'ון דיברתלומאו,"DIBARTOLOMEO, JOHN",7990,275000.0,400000.0,275000,400000,337500.0,1,0.3704,800000.0,2.37,USD,net,EL,reported,1,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,naturalised IL
2023,TEL,calibrate,רומן סורקין,"SORKIN, ROMAN",11219,500000.0,375000.0,375000,500000,437500.0,1,0.2857,750000.0,1.714,USD,net,EL,reported,1,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,
2023,TEL,calibrate,ג'ייק כהן,"COHEN, JAKE",5145,250000.0,300000.0,250000,300000,275000.0,1,0.1818,600000.0,2.182,USD,net,EL,reported,1,0,1,BasketNews;Sport5;WallaSport;IsraelHayom,naturalised IL
