club,season,player,salary,basis,source,yr,last,usage
Hapoel Tel Aviv,2025-2026,Vasilije Micić / ואסילייה מיציץ',6000000.0,Net,sport /basketnews/israel hayom,2025,MICIC,test
Panathinaikos,2025-2026,Kendrick Nunn / קנדריק נאן,4700000.0,Net,basketnews/eurohoops,2025,NUNN,calibrate
Olympiacos,2025-2026,Sasha Vezenkov / סשה וזנקוב,3900000.0,Net,basketnews/eurohoops,2025,VEZENKOV,test
Anadolu Efes,2025-2026,Shane Larkin / שיין לארקין,3750000.0,Net,basketnews/eurohoops,2025,LARKIN,calibrate
Dubai BC,2025-2026,Džanan Musa / דז'נאן מוסא,3500000.0,Net,basketnews/eurohoops,2025,MUSA,calibrate
Hapoel Tel Aviv,2025-2026,Elijah Bryant / אלייז'ה בראיינט,2800000.0,Net,sport /basketnews/israel hayom,2025,BRYANT,test
Maccabi Tel Aviv,2026-2027,Daniel Theis / דניאל תייס,2200000.0,Net,sport /basketnews/israel hayom,2026,THEIS,structure_only
Hapoel Tel Aviv,2025-2026,Dan Oturu / דן אוטורו,2200000.0,Net,sport /basketnews/israel hayom,2025,OTURU,test
Maccabi Tel Aviv,2025-2026,Yam Madar / ים מדר,2000000.0,Net,sport /basketnews/israel hayom,2025,MADAR,calibrate
Maccabi Tel Aviv,2026-2027,Jaylen Hoard / ג'יילן הורד,1800000.0,Net,sport /basketnews/israel hayom,2026,HOARD,structure_only
Maccabi Tel Aviv,2026-2027,Iffe Lundberg / איפה לונדברג,1800000.0,Net,sport /basketnews/israel hayom,2026,LUNDBERG,structure_only
Maccabi Tel Aviv,2025-2026,Lonnie Walker IV / לוני ווקר,2200000.0,Net,sport /basketnews/israel hayom,2025,IV,calibrate
Hapoel Tel Aviv,2025-2026,Johnathan Motley / ג'ונתן מוטלי,1500000.0,Net,sport /basketnews/israel hayom,2025,MOTLEY,test
Maccabi Tel Aviv,2026-2027,Bonzie Colson / בונזי קולסון,1500000.0,Net,sport /basketnews/israel hayom,2026,COLSON,structure_only
Maccabi Tel Aviv,2026-2027,Oshae Brissett / אושיי בריסט,1500000.0,Net,sport /basketnews/israel hayom,2026,BRISSETT,structure_only
Hapoel Tel Aviv,2025-2026,Antonio Blakeney / אנטוניו בלייקני,1400000.0,Net,sport /basketnews/israel hayom,2025,BLAKENEY,test
Hapoel Tel Aviv,2024-2025,Yam Madar / ים מדר (חוזה קודם),1200000.0,Net,sport /basketnews/israel hayom,2024,MADAR,test
Hapoel Tel Aviv,2025-2026,Bruno Caboclo / ברונו קבוקלו,1200000.0,Net,sport /basketnews/israel hayom,2025,CABOCLO,test
Hapoel Tel Aviv,2025-2026,Chris Jones / כריס ג'ונס,1100000.0,Net,sport /basketnews/israel hayom,2025,JONES,test
Hapoel Tel Aviv,2025-2026,Collin Malcolm / קולין מלקולם,1100000.0,Net,sport /basketnews/israel hayom,2025,MALCOLM,test
Hapoel Tel Aviv,2025-2026,Tai Odiase / טיי אודיאסה,800000.0,Net,sport /basketnews/israel hayom,2025,ODIASE,test
Hapoel Tel Aviv,2025-2026,Ish Wainwright / איש ויינרייט,750000.0,Net,sport /basketnews/israel hayom,2025,WAINWRIGHT,test
Hapoel Tel Aviv,2025-2026,Tyler Ennis / טיילר אניס,600000.0,Net,sport /basketnews/israel hayom,2025,ENNIS,test
Hapoel Tel Aviv,2025-2026,Tomer Ginat / תומר גינת,750000.0,Net,sport /basketnews/israel hayom,2025,GINAT,test
Hapoel Tel Aviv,2025-2026,Bar Timor / בר טימור,400000.0,Net,sport /basketnews/israel hayom,2025,TIMOR,test
Real Madrid,2025-2026,Edy Tavares / אדי טבארס,2850000.0,Net,basketnews/eurohoops,2025,TAVARES,calibrate
