season,club,side,k
2024,ASV,free,4
2024,ASV,free,5
2024,ASV,free,8
2024,ASV,cap,4
2024,ASV,cap,5
2024,ASV,cap,6
2024,ASV,cap,8
2024,BAR,free,4
2024,BAR,free,5
2024,BAR,free,6
2024,BAR,free,8
2024,BAR,cap,4
2024,BAR,cap,8
2024,BAS,free,8
2024,BAS,cap,4
2024,BAS,cap,6
2024,BAS,cap,7
2024,BAS,cap,8
2024,BER,free,4
2024,BER,free,7
2024,BER,free,8
2024,BER,cap,4
2024,BER,cap,8
2024,IST,free,4
2024,IST,free,5
2024,IST,free,6
2024,IST,free,8
2024,IST,cap,5
2024,IST,cap,6
2024,IST,cap,7
2024,IST,cap,8
2024,MAD,free,5
2024,MAD,free,6
2024,MAD,free,8
2024,MAD,cap,4
2024,MAD,cap,5
2024,MAD,cap,8
2024,MCO,free,4
2024,MCO,free,5
2024,MCO,free,6
2024,MCO,free,8
2024,MCO,cap,4
2024,MCO,cap,7
2024,MCO,cap,8
2024,MIL,free,4
2024,MIL,free,5
2024,MIL,free,6
2024,MIL,free,8
2024,MIL,cap,4
2024,MIL,cap,8
2024,MUN,free,5
2024,MUN,free,8
2024,MUN,cap,4
2024,MUN,cap,5
2024,MUN,cap,8
2024,OLY,free,4
2024,OLY,free,8
2024,OLY,cap,5
2024,OLY,cap,6
2024,OLY,cap,7
2024,OLY,cap,8
2024,PAN,free,4
2024,PAN,free,8
2024,PAN,cap,5
2024,PAN,cap,8
2024,PAR,free,8
2024,PAR,cap,4
2024,PAR,cap,6
2024,PAR,cap,8
2024,PRS,free,5
2024,PRS,free,6
2024,PRS,free,7
2024,PRS,free,8
2024,PRS,cap,5
2024,PRS,cap,8
2024,RED,free,4
2024,RED,free,5
2024,RED,free,6
2024,RED,free,7
2024,RED,free,8
2024,RED,cap,6
2024,RED,cap,7
2024,RED,cap,8
2024,TEL,free,4
2024,TEL,free,5
2024,TEL,free,6
2024,TEL,free,8
2024,TEL,cap,4
2024,TEL,cap,5
2024,TEL,cap,6
2024,TEL,cap,7
2024,TEL,cap,8
2024,ULK,free,5
2024,ULK,free,6
2024,ULK,free,8
2024,ULK,cap,4
2024,ULK,cap,5
2024,ULK,cap,6
2024,ULK,cap,7
2024,ULK,cap,8
2024,VIR,free,4
2024,VIR,free,8
2024,VIR,cap,4
2024,VIR,cap,5
2024,VIR,cap,8
2024,ZAL,free,8
2024,ZAL,cap,5
2024,ZAL,cap,8
2025,ASV,free,4
2025,ASV,free,5
2025,ASV,free,8
2025,ASV,cap,5
2025,ASV,cap,6
2025,ASV,cap,8
2025,BAR,free,4
2025,BAR,free,5
2025,BAR,free,8
2025,BAR,cap,5
2025,BAR,cap,6
2025,BAR,cap,7
2025,BAR,cap,8
2025,BAS,free,4
2025,BAS,free,5
2025,BAS,free,8
2025,BAS,cap,5
2025,BAS,cap,6
2025,BAS,cap,7
2025,BAS,cap,8
2025,DUB,free,4
2025,DUB,free,5
2025,DUB,free,8
2025,DUB,cap,5
2025,DUB,cap,6
2025,DUB,cap,7
2025,DUB,cap,8
2025,HTA,free,4
2025,HTA,free,5
2025,HTA,free,8
2025,HTA,cap,5
2025,HTA,cap,6
2025,HTA,cap,7
2025,HTA,cap,8
2025,IST,free,4
2025,IST,free,5
2025,IST,free,8
2025,IST,cap,4
2025,IST,cap,5
2025,IST,cap,8
2025,MAD,free,8
2025,MAD,cap,5
2025,MAD,cap,6
2025,MAD,cap,7
2025,MAD,cap,8
2025,MCO,free,4
2025,MCO,free,5
2025,MCO,free,8
2025,MCO,cap,5
2025,MCO,cap,6
2025,MCO,cap,7
2025,MIL,free,4
2025,MIL,free,5
2025,MIL,free,6
2025,MIL,free,8
2025,MIL,cap,5
2025,MIL,cap,6
2025,MIL,cap,7
2025,MIL,cap,8
2025,MUN,free,5
2025,MUN,free,8
2025,MUN,cap,5
2025,MUN,cap,6
2025,MUN,cap,8
2025,OLY,free,4
2025,OLY,free,5
2025,OLY,free,8
2025,OLY,cap,4
2025,OLY,cap,5
2025,OLY,cap,6
2025,OLY,cap,7
2025,OLY,cap,8
2025,PAM,free,5
2025,PAM,free,6
2025,PAM,free,8
2025,PAM,cap,5
2025,PAM,cap,6
2025,PAM,cap,7
2025,PAM,cap,8
2025,PAN,free,4
2025,PAN,free,5
2025,PAN,free,8
2025,PAN,cap,4
2025,PAN,cap,5
2025,PAN,cap,6
2025,PAN,cap,8
2025,PAR,free,4
2025,PAR,free,5
2025,PAR,free,8
2025,PAR,cap,4
2025,PAR,cap,5
2025,PAR,cap,6
2025,PAR,cap,7
2025,PAR,cap,8
