Season,Team,games_played,games_rs,games_playoff,rs_scheduled,rs_missing
2016,BAM,30,30,0,30,0
2016,BAR,30,30,0,30,0
2016,BAS,33,30,3,30,0
2016,CSK,35,30,5,30,0
2016,DAR,34,30,4,30,0
2016,GAL,30,30,0,30,0
2016,IST,35,30,5,30,0
2016,MAD,36,30,6,30,0
2016,MIL,30,30,0,30,0
2016,OLY,37,30,7,30,0
2016,PAN,33,30,3,30,0
2016,RED,30,30,0,30,0
2016,TEL,30,30,0,30,0
2016,ULK,35,30,5,30,0
2016,UNK,30,30,0,30,0
2016,ZAL,30,30,0,30,0
2017,BAM,30,30,0,30,0
2017,BAR,30,30,0,30,0
2017,BAS,34,30,4,30,0
2017,CSK,36,30,6,30,0
2017,IST,30,30,0,30,0
2017,KHI,34,30,4,30,0
2017,MAD,36,30,6,30,0
2017,MAL,30,30,0,30,0
2017,MIL,30,30,0,30,0
2017,OLY,34,30,4,30,0
2017,PAM,30,30,0,30,0
2017,PAN,34,30,4,30,0
2017,RED,30,30,0,30,0
2017,TEL,30,30,0,30,0
2017,ULK,36,30,6,30,0
2017,ZAL,36,30,6,30,0
2018,BAR,35,30,5,30,0
2018,BAS,34,30,4,30,0
2018,BUD,30,30,0,30,0
2018,CAN,30,30,0,30,0
2018,CSK,36,30,6,30,0
2018,DAR,30,30,0,30,0
2018,IST,37,30,7,30,0
2018,KHI,30,30,0,30,0
2018,MAD,35,30,5,30,0
2018,MIL,30,30,0,30,0
2018,MUN,30,30,0,30,0
2018,OLY,30,30,0,30,0
2018,PAN,33,30,3,30,0
2018,TEL,30,30,0,30,0
2018,ULK,36,30,6,30,0
2018,ZAL,34,30,4,30,0
2019,ASV,28,28,0,34,6
2019,BAR,28,28,0,34,6
2019,BAS,28,28,0,34,6
2019,BER,28,28,0,34,6
2019,CSK,28,28,0,34,6
2019,DYR,28,28,0,34,6
2019,IST,28,28,0,34,6
2019,KHI,28,28,0,34,6
2019,MAD,28,28,0,34,6
2019,MIL,28,28,0,34,6
2019,MUN,28,28,0,34,6
2019,OLY,28,28,0,34,6
2019,PAM,28,28,0,34,6
2019,PAN,28,28,0,34,6
2019,RED,28,28,0,34,6
2019,TEL,28,28,0,34,6
2019,ULK,28,28,0,34,6
2019,ZAL,28,28,0,34,6
2020,ASV,34,34,0,34,0
2020,BAR,41,34,7,34,0
2020,BAS,34,34,0,34,0
2020,BER,34,34,0,34,0
2020,CSK,39,34,5,34,0
2020,DYR,39,34,5,34,0
2020,IST,41,34,7,34,0
2020,KHI,34,34,0,34,0
2020,MAD,39,34,5,34,0
2020,MIL,41,34,7,34,0
2020,MUN,39,34,5,34,0
2020,OLY,34,34,0,34,0
2020,PAM,34,34,0,34,0
2020,PAN,34,34,0,34,0
2020,RED,34,34,0,34,0
2020,TEL,34,34,0,34,0
2020,ULK,37,34,3,34,0
2020,ZAL,34,34,0,34,0
2021,ASV,32,32,0,34,2
2021,BAR,39,32,7,34,2
2021,BAS,32,32,0,34,2
2021,BER,34,34,0,34,0
2021,CSK,24,24,0,34,10
2021,DYR,23,23,0,34,11
2021,IST,40,34,6,34,0
2021,MAD,38,33,5,34,1
2021,MCO,38,33,5,34,1
2021,MIL,36,32,4,34,2
2021,MUN,36,31,5,34,3
2021,OLY,38,31,7,34,3
2021,PAN,32,32,0,34,2
2021,RED,33,33,0,34,1
2021,TEL,35,32,3,34,2
2021,ULK,31,31,0,34,3
2021,UNK,25,25,0,34,9
2021,ZAL,32,32,0,34,2
2022,ASV,34,34,0,34,0
2022,BAR,39,34,5,34,0
2022,BAS,34,34,0,34,0
2022,BER,34,34,0,34,0
2022,IST,34,34,0,34,0
2022,MAD,41,34,7,34,0
2022,MCO,41,34,7,34,0
2022,MIL,34,34,0,34,0
2022,MUN,34,34,0,34,0
2022,OLY,41,34,7,34,0
2022,PAM,34,34,0,34,0
2022,PAN,34,34,0,34,0
2022,PAR,39,34,5,34,0
2022,RED,34,34,0,34,0
2022,TEL,39,34,5,34,0
2022,ULK,39,34,5,34,0
2022,VIR,34,34,0,34,0
2022,ZAL,37,34,3,34,0
2023,ASV,34,34,0,34,0
2023,BAR,39,34,5,34,0
2023,BAS,39,34,5,34,0
2023,BER,34,34,0,34,0
2023,IST,35,34,1,34,0
2023,MAD,39,34,5,34,0
2023,MCO,39,34,5,34,0
2023,MIL,34,34,0,34,0
2023,MUN,34,34,0,34,0
2023,OLY,41,34,7,34,0
2023,PAM,34,34,0,34,0
2023,PAN,41,34,7,34,0
2023,PAR,34,34,0,34,0
2023,RED,34,34,0,34,0
2023,TEL,40,34,6,34,0
2023,ULK,41,34,7,34,0
2023,VIR,36,34,2,34,0
2023,ZAL,34,34,0,34,0
2024,ASV,34,34,0,34,0
2024,BAR,39,34,5,34,0
2024,BAS,34,34,0,34,0
2024,BER,34,34,0,34,0
2024,IST,39,34,5,34,0
2024,MAD,40,34,6,34,0
2024,MCO,41,34,7,34,0
2024,MIL,34,34,0,34,0
2024,MUN,36,34,2,34,0
2024,OLY,40,34,6,34,0
2024,PAN,41,34,7,34,0
2024,PAR,34,34,0,34,0
2024,PRS,38,34,4,34,0
2024,RED,35,34,1,34,0
2024,TEL,34,34,0,34,0
2024,ULK,39,34,5,34,0
2024,VIR,34,34,0,34,0
2024,ZAL,34,34,0,34,0
2025,ASV,38,38,0,38,0
2025,BAR,40,38,2,38,0
2025,BAS,38,38,0,38,0
2025,DUB,38,38,0,38,0
2025,HTA,42,38,4,38,0
2025,IST,38,38,0,38,0
2025,MAD,44,38,6,38,0
2025,MCO,43,38,5,38,0
2025,MIL,38,38,0,38,0
2025,MUN,38,38,0,38,0
2025,OLY,43,38,5,38,0
2025,PAM,44,38,6,38,0
2025,PAN,44,38,6,38,0
2025,PAR,38,38,0,38,0
2025,PRS,38,38,0,38,0
2025,RED,39,38,1,38,0
2025,TEL,38,38,0,38,0
2025,ULK,43,38,5,38,0
2025,VIR,38,38,0,38,0
2025,ZAL,42,38,4,38,0
