Season,Player_ID,Team,minutes,poss,pts,fga,fta,pir,tm_poss,tm_min,games,usage,ts,ppm,usage_odd,ts_odd,ppm_odd,min_odd,usage_even,ts_even,ppm_even,min_even
2016,P000046   ,BAM,531.65,220.28,258,178,37,281,1707.36,4447.516666666666,22,21.58597784276772,66.39901173563928,0.5285432145208314,20.38307411433051,68.70928338762215,0.5932666060054596,274.75,22.869821789509366,64.03581840899625,0.45932269365511874,256.9
2016,P000357   ,GAL,688.8666666666667,261.12,250,209,23,323,2161.0,5400.0,27,18.944099031183384,57.046367287331144,0.4688860930997774,18.06388196931471,56.457633445315416,0.4459611069558713,356.53333333333336,19.909091855255635,57.60986066452305,0.49348044132397195,332.3333333333333
2016,P000399   ,ZAL,338.1166666666667,150.16,159,98,39,146,2409.36,5999.766666666666,30,22.11822854898691,69.0343869399097,0.4318036180805442,18.277110959026526,70.38288288288288,0.2748414376321353,141.9,24.772968382957743,68.4329482672024,0.5453155525354625,196.21666666666667
2016,P000436   ,DAR,449.01666666666665,163.24,186,121,46,164,2315.36,5625.0,28,17.664368695716714,65.84536958368733,0.36524256709105085,16.741041220967784,63.682678311499274,0.4086398131932283,256.95,18.865096121243482,68.87755102040816,0.30718500520652553,192.06666666666666
2016,P000464   ,PAN,445.45,159.44,148,112,51,146,2427.84,6125.1,30,18.060153582235493,55.04314192204701,0.3277584465147604,18.867062670630343,59.24170616113744,0.3741231488698363,256.6,16.924763371657257,47.961630695443645,0.2647603918453799,188.85
2016,P000494   ,GAL,872.4833333333333,386.16,315,300,39,326,2408.04,6000.0,30,22.056047864022755,49.65947786606129,0.37364610594280695,23.181837489745917,50.50195886385896,0.3622873830853625,422.31666666666666,20.9925939812611,48.764629388816644,0.3843021103295076,450.16666666666663
2016,P000497   ,DAR,30.166666666666668,10.0,3,6,0,-8,1504.68,3625.0,18,15.972265977663502,25.0,-0.26519337016574585,10.976667470246289,0.0,-0.3836317135549872,13.033333333333333,19.853263583461136,30.0,-0.17509727626459146,17.133333333333333
2016,P000529   ,GAL,845.2,347.88,326,276,52,331,2314.64,5800.0,29,20.627400848041813,54.53693790149893,0.3916232844297208,19.800043767012227,56.88448074679113,0.36707587039645806,414.0833333333333,21.483727893841827,52.546983184965384,0.41520083504078553,431.1166666666667
2016,P000556   ,BAR,574.5833333333334,170.84,163,122,36,227,2121.96,5425.0,27,15.202992578549875,59.12652350551364,0.39506889050036254,14.129924480287002,52.672955974842765,0.3649386084583902,293.2,16.30716149566906,64.65517241379311,0.42646449090801397,281.3833333333333
2016,P000622   ,TEL,484.5833333333333,173.76,143,126,29,153,2302.6,5625.0,28,17.519243826131277,51.52781781493226,0.31573516766981946,17.948569893129868,58.55986119144014,0.3609148772469749,238.28333333333333,17.096110636439708,44.54022988505748,0.27202598457166055,246.3
2016,P000659   ,DAR,157.98333333333332,39.36,42,23,19,51,733.8,1800.0,9,12.222741030070605,66.96428571428572,0.32281886274923516,10.567475648476783,71.16336633663366,0.327313769751693,88.6,14.354058910680303,62.5,0.31707902954600053,69.38333333333333
2016,P000880   ,MIL,207.76666666666665,117.08,97,83,32,85,785.08,1825.0,9,26.199064992725596,49.95879686856201,0.40911278678004176,25.038530465050638,49.559471365638764,0.4091490268504049,117.31666666666666,27.671254849596465,50.46948356807511,0.40906578220011053,90.45
2016,P000880   ,PAN,118.35000000000001,48.96,29,38,9,16,725.6,1825.0,9,20.809839817892943,34.55672068636797,0.13519222644697929,23.935972091471175,46.423658872077034,0.2630221763795771,64.63333333333334,16.891179645788434,7.763975155279502,-0.01861619609059882,53.71666666666667
2016,P000925   ,ULK,706.2166666666667,293.96,292,201,109,345,2273.48,5850.0,29,21.421259372304426,58.6439588688946,0.48851863214783,21.653929655114695,61.35887458844658,0.5153209572802505,372.5833333333333,21.18697743703386,55.49774540409296,0.4585872714556899,333.6333333333333
2016,P000956   ,UNK,121.05,48.84,40,36,11,20,733.04,1825.0,9,20.089820314743,48.97159647404505,0.16522098306484925,19.520697604788772,45.04504504504504,0.13055641902393533,53.61666666666667,20.53606390253425,51.99306759098787,0.19278299555116163,67.43333333333334
2016,P001098   ,ZAL,446.3333333333333,148.68,139,101,47,189,2409.36,5999.766666666666,30,16.590363080624847,57.11702827087442,0.4234503360716953,16.911922816743566,57.993730407523515,0.43566135189759714,222.65,16.276242028580608,56.15065653075328,0.41129573057149243,223.68333333333334
2016,P001108   ,CSK,174.85,86.4,67,67,10,46,1766.56,4224.266666666666,21,23.63203032179665,46.9187675070028,0.2630826422647984,23.517846043550644,43.386491557223266,0.24080267558528426,99.66666666666667,23.713828227429328,52.155771905424196,0.29261804477942804,75.18333333333334
2016,P001133   ,BAS,434.5833333333333,227.92,224,158,68,248,1777.8,4200.016666666666,21,24.780352339555485,59.59982971477224,0.5706615532118888,25.098699953488012,58.77742946708464,0.5299684542586751,237.75,24.373941177126987,60.57781919850885,0.619813717188823,196.83333333333334
2016,P001142   ,PAN,0.0,0.0,0,0,0,0,738.3199999999999,1875.0,9,,,,,,,0.0,,,,0.0
2016,P001215   ,BAR,139.36666666666667,69.68,69,45,22,86,731.48,1800.0,9,24.606467657312326,63.09436722750549,0.6170772542453958,21.344750247559556,67.24683544303797,0.6735132553140674,69.78333333333333,27.84913672271727,59.523809523809526,0.5604790419161677,69.58333333333333
2016,P001255   ,OLY,670.95,253.72,245,189,63,309,2473.64,6025.0,30,18.421080369817144,56.52454780361757,0.4605410239213056,17.586162119563514,51.08736407949006,0.42462239954402964,350.9,19.334785428805972,61.79571065067249,0.4999218872051242,320.05
2016,P001274   ,TEL,735.3666666666667,290.56,257,240,24,254,2380.44,5825.0,29,19.33751096320557,51.285121328224776,0.3454059199492317,20.491026078649046,51.45797598627788,0.38348868175765644,375.5,18.096716800587473,51.066522053506866,0.3056687662097073,359.8666666666667
2016,P001324   ,ULK,762.9833333333333,354.36,329,280,44,312,2255.08,5825.0,29,23.993500521309826,54.950561197220736,0.4089211210380305,23.05659818469901,47.91431792559189,0.2894990788665672,379.9666666666667,24.888107325182556,61.29319105691057,0.5273921935511945,383.01666666666665
2016,P001389   ,UNK,348.98333333333335,102.48,68,72,17,26,2086.32,5225.0,26,14.708547905668944,42.778057372924,0.07450212522087969,14.153546508809697,47.71880819366853,0.11820719093744869,203.03333333333333,15.511652822493804,36.96604600219058,0.013703323055841042,145.95
2016,P001392   ,BAM,734.85,278.56,287,215,49,319,2279.36,5872.516666666666,29,19.532659810853517,60.66114305038891,0.43410219772742736,18.104078956974593,54.8683160415004,0.33291151562347904,342.43333333333334,20.776980794946553,64.92077464788733,0.5224039074113399,392.4166666666667
2016,P001438   ,CSK,476.73333333333335,142.16,169,109,39,247,2431.2,5849.266666666666,29,14.348702314833286,66.97844007609385,0.5181093553349182,16.913287386158505,70.25450689289502,0.6087560806115359,239.83333333333331,11.66811770652537,62.10567823343849,0.4263402279442803,236.9
2016,P001633   ,BAS,227.61666666666667,74.64,62,49,6,67,2537.16,6000.016666666666,30,15.509656103803115,60.03098373353989,0.29435454345756756,15.828272957091839,62.5,0.3420389765345353,125.71666666666667,15.103094445255909,57.283142389525366,0.2355250245338567,101.9
2016,P001832   ,BAR,300.3,116.36,117,94,19,126,1180.88,3000.0,15,19.687649252041908,57.15123094958968,0.4195804195804196,21.015184093487314,60.471037555697,0.4671280276816609,173.4,17.973897685742212,51.872469635627525,0.35460992907801414,126.9
2016,P001833   ,DAR,673.85,274.44,253,242,26,260,2396.76,5825.0,29,19.79636967872049,49.91319444444444,0.3858425465608073,19.5967607532194,54.062403459993824,0.4560835662792408,339.85,19.987521764876412,45.579219102936435,0.3143712574850299,334.0
2016,P001844   ,OLY,160.35,59.68,55,48,22,61,914.96,2200.0,11,17.8982437620948,47.67683772538142,0.3804178359837855,18.547360823567395,44.642857142857146,0.299079754601227,86.93333333333334,17.077421063110513,52.26480836236934,0.4767309875141884,73.41666666666667
2016,P001887   ,UNK,951.7833333333333,626.88,609,470,202,611,2261.0,5625.0,28,32.77164780032597,54.483967935871746,0.6419528253979372,32.912151106723876,52.92415473652148,0.6339673006339673,449.54999999999995,32.65394276966204,55.86686470429382,0.6491006836131944,502.23333333333335
2016,P001926   ,ULK,625.3833333333333,261.16,245,171,64,260,1884.68,4850.0,24,21.492872843989684,61.50833500702952,0.4157450097273672,22.462487976534277,54.41234665611397,0.3681938738363929,320.48333333333335,20.518665394680795,68.82137030995106,0.465726467694326,304.9
2016,P001932   ,PAN,827.0666666666666,384.64,304,299,56,374,2427.84,6125.1,30,23.46589078219336,46.96576442961315,0.45220054812187654,23.747419086451043,50.46863734679164,0.4961089494163424,411.2,23.188880972507846,43.25699745547074,0.4087848669445335,415.8666666666667
2016,P001960   ,MAD,516.5333333333333,224.96,261,192,34,189,2506.68,6039.833333333333,30,20.987610933219894,63.055662930034785,0.3659008776458441,20.037874704538453,59.02929602098819,0.27640539457871544,249.63333333333333,21.832900779186904,66.24523727052303,0.44960659423004873,266.9
2016,P001972   ,BAR,521.3333333333334,125.4,128,101,10,144,1857.16,4800.0,24,12.433802204603689,60.72106261859582,0.27621483375959077,12.485529702377073,64.33166547533953,0.29343532509875225,265.81666666666666,12.382301787463334,56.63430420711974,0.25830017611375644,255.51666666666668
2016,P002026   ,UNK,523.2166666666667,127.16,159,112,14,139,2414.04,6025.0,30,12.131417092213587,67.2816519972918,0.2656643200713535,13.1666593149563,77.28706624605678,0.3764797205511353,257.65,11.141288266815927,55.697589481373264,0.15815237856156647,265.56666666666666
2016,P002081   ,MIL,48.43333333333333,8.32,8,7,3,0,1030.48,2425.0,12,8.085020735898246,48.07692307692307,0.0,9.684034251796241,75.18796992481202,0.11703511053315994,25.633333333333333,6.3039380701124,0.0,-0.13157894736842107,22.799999999999997
2016,P002100   ,CSK,629.9166666666666,415.36,463,290,119,522,1918.44,4624.266666666666,23,31.788220485479055,67.61888071036336,0.8286810424659347,30.65446405517854,65.64119900833897,0.8181955416897297,331.2166666666667,33.078899927122094,69.74769529354683,0.8403080013391363,298.7
2016,P002104   ,GAL,408.8833333333333,125.8,97,94,20,36,2320.4,5800.0,29,15.380709340534626,47.17898832684825,0.08804467452003424,14.922399078021197,45.50735863671572,0.08974258049279697,211.71666666666667,15.864316424033804,48.866301798279906,0.08622147083685545,197.16666666666666
2016,P002276   ,CSK,37.08333333333333,24.2,22,17,5,7,736.72,1799.2666666666667,9,31.875695612865293,57.29166666666667,0.18876404494382024,32.25665065102175,69.83240223463687,0.33007334963325186,27.266666666666666,29.907942792582105,20.491803278688526,-0.2037351443123939,9.816666666666666
2016,P002329   ,ZAL,734.6166666666667,230.12,232,159,73,279,2409.36,5999.766666666666,30,15.60113693190849,60.69485140226036,0.37978991310660887,14.711294033264537,64.30697278911565,0.38937750832550594,390.3666666666667,16.610956832769794,57.1929101401484,0.36891793754538854,344.25
2016,P002358   ,MAD,0.0,0.0,0,0,0,0,561.64,1400.0,7,,,,,,,0.0,,,,0.0
2016,P002429   ,PAN,809.9,311.08,329,269,32,222,2427.84,6125.1,30,19.380447825107744,58.110781404549954,0.2741079145573528,20.55426969234782,59.954448017148984,0.2971522905489063,403.83333333333337,18.204701977981927,56.05381165919282,0.2511902807420785,406.06666666666666
