season,club,n,B,q_club,q_club_r,qm,q12,qn,qnp,q_rand,rand_win,n_scoring,cost_wasted,n_ok
2024,ASV,16,14.073270363433034,100.75366166402485,99.6685235535157,107.35378090474852,120.49053223217612,121.93254665872195,117.11098779798576,96.30962850568726,0.3333333333333333,10,0.2870581225432904,300
2024,BAR,16,17.59991691861344,107.2047391464168,107.63222944149568,110.08448887870578,122.75725452371174,122.35535607145731,114.43077103160346,101.01397901672317,0.2633333333333333,11,0.24694681883244884,300
2024,BAS,15,12.954781428996139,105.17839559611767,100.94426693670322,108.70598719191943,122.19100577358049,120.60573242018806,117.5349726091208,94.50334261424678,0.16666666666666666,11,0.17117890394152804,300
2024,BER,20,13.600359884894528,91.65478216166753,92.5640010731946,114.39709026173152,115.79739989361806,117.3959824595031,117.3959824595031,96.2161246732381,0.72,15,0.24120368881751372,300
2024,IST,16,17.332176685724676,112.23118917550518,112.19701525949057,109.95696783041606,128.48406560088162,122.22255864445533,118.0294779939001,99.20441555388246,0.12666666666666668,9,0.3017760023262302,300
2024,MAD,16,19.810230742546466,106.33832534382056,103.70905998474771,116.26249646740655,130.19640679965045,116.9214796838436,123.6818975758619,101.44692563056523,0.30333333333333334,9,0.2322478642989664,300
2024,MCO,15,16.756786430911852,103.02263323293865,103.59694231482915,111.17501335620653,128.896429023615,119.3347954586997,121.66637029060158,99.04827378015648,0.34,11,0.20044896719869698,300
2024,MIL,18,17.84486777407168,105.29226544130543,104.57943306779266,116.35158714526908,128.65924642635005,119.72980138166045,122.06257794413501,102.41945446404341,0.41,11,0.21222865701495305,300
2024,MUN,16,11.632011559351708,103.44085006467614,103.64161553280535,106.95649697986102,120.59530838522535,115.55797446439469,115.05135228111452,92.3859640438015,0.09666666666666666,12,0.22142874651425717,300
2024,OLY,17,21.325045580772294,114.07006047013122,112.0643169167538,117.07142665019889,122.75040994831093,130.28472446614552,126.29772979140651,103.00064758149526,0.13,11,0.2013419766396513,300
2024,PAN,16,20.43199160369695,116.4923567338546,117.25173344361914,119.78478187835309,128.61832557396497,133.3260968928279,129.55693285037785,100.83483025498978,0.08333333333333333,11,0.2151766334073568,300
2024,PAR,15,12.071230701361428,100.8873786847468,98.90109903019228,105.15515337266908,120.59530838522535,116.10842990266781,116.10842990266781,93.94163621761314,0.21,10,0.292465553088586,300
2024,PRS,15,11.211659207399787,101.07963265572403,97.32162305247905,110.18740057021193,119.62801849376305,110.17150513327226,115.43377897868967,90.45935471516393,0.13666666666666666,7,0.5063211700889431,300
2024,RED,14,14.349914757351613,102.70310886657074,102.52562969670953,108.46796044446796,123.10292101095634,115.83456196516212,118.18601297693885,95.23636834860937,0.25333333333333335,9,0.2901937784060547,300
2024,TEL,19,13.7086514846965,103.96548827991204,105.08266143214028,113.92293351888547,121.56143532732148,120.0197905135953,116.50717763965763,96.75405884782138,0.21,12,0.3187448402263788,300
2024,ULK,18,22.1581918680454,96.2430708049876,96.28096898149677,121.74685138478391,127.52896911988205,130.87167312597887,123.37544918348766,104.05640745142964,0.7833333333333333,11,0.31812844712959765,300
2024,VIR,14,14.69825672511058,100.32940087886014,99.36942648928895,112.42272254687153,122.98237184566123,120.4981183858111,121.3418263032393,95.5902446801459,0.3333333333333333,10,0.23075358666960533,300
2024,ZAL,17,12.483317044972704,93.63259775687106,92.28881717775745,110.42917492292544,121.79470396879354,116.88921775936996,116.88921775936996,94.9541034768053,0.56,8,0.4728709877709616,300
2025,ASV,15,13.265329581029935,83.88323461171942,84.0187838355798,106.55178251820504,119.3989197998108,97.44428357211656,109.25000793445044,90.6958465002838,0.7366666666666667,10,0.31440382894300306,300
2025,BAR,16,25.901019889980155,101.95399526052351,101.3287584786126,119.91662209443706,127.38380491813777,125.41687998371879,125.41687998371879,103.51629429738207,0.5533333333333333,10,0.1848961376790762,300
2025,BAS,19,18.682495303404504,104.35555433358081,104.35979659492945,122.74582159815284,125.01753917495576,123.08109325754663,130.9509665504229,102.3027641621471,0.38666666666666666,12,0.3280733608116598,300
2025,DUB,19,19.609834159046788,112.98495427241697,112.6944271053943,113.012941117697,118.44362135567823,119.35271924794456,119.31630179324384,101.00580337690619,0.10333333333333333,13,0.26760770959452407,300
2025,HTA,17,23.424579304304995,110.0969663196915,105.53433691475001,119.76735036697332,125.41102215470913,120.18493494263329,126.23310620904594,104.72516346857002,0.23333333333333334,10,0.26400242044104155,300
2025,IST,17,23.30049961167983,91.85436212782773,92.36701121024716,119.67215533423554,124.79109247894664,120.10842325247494,125.40756107556926,104.72385721211296,0.8833333333333333,12,0.19434512625053213,300
2025,MAD,16,23.63641824224325,119.0759325037891,115.94602905846443,125.24211567858327,125.41102215470913,132.8564092694643,132.83017037744474,102.55417337661171,0.07333333333333333,9,0.27468797620573615,300
2025,MCO,13,24.86130599918853,110.94063957944178,109.89887311341505,117.98909830725711,126.31061911896856,121.62573018912789,121.62573018912789,95.56138561147975,0.11333333333333333,8,0.2006375243751348,300
2025,MIL,18,24.61888570474433,102.92664356297863,102.92664356297863,121.72527972254426,121.62573018912789,127.0864357434223,127.0864357434223,103.98068734953455,0.5533333333333333,9,0.2700162624491905,300
2025,MUN,16,14.338965331633975,93.97243664141058,93.97495808059165,110.93965136912786,123.82909412503027,114.09747485114099,114.09747485114099,92.75221813778452,0.45,10,0.28965000956234455,300
2025,OLY,20,36.92842814182646,124.96879873559902,126.11165178706595,133.5921768846959,131.14489761206838,137.08022796164784,137.08022796164784,110.25344659438356,0.06666666666666667,12,0.2579678788241792,300
2025,PAM,17,15.383064203183286,112.10958356759087,110.060070876816,115.12773412491768,119.92341439800423,115.68801473314275,120.93436429082355,95.44705720329668,0.043333333333333335,8,0.4518545462681292,300
2025,PAN,18,32.122246757907426,109.09160299643439,109.31158730536767,118.34419515329036,133.57268566339283,125.43550462444593,125.43550462444593,106.17504098738418,0.38333333333333336,12,0.16642167719322973,300
2025,PAR,20,20.88520758133475,95.06384554701992,96.52155379491299,123.71839546494243,123.05191118835019,131.38726003826673,131.38726003826673,103.74644615104656,0.8333333333333334,14,0.23108941508893657,300
2025,PRS,16,12.943051345800665,107.80950300522156,104.43680938195558,111.5289719691184,121.29262290439866,110.13119932087255,117.56056112862545,90.33659308089692,0.04794520547945205,9,0.3991768552989102,292
2025,RED,17,23.834728690538594,108.98102429883407,107.99743687525472,130.00515003281464,125.63362606788601,119.79229331562685,134.2853330215599,103.27814624865722,0.29,9,0.32375218454202737,300
2025,TEL,16,15.907318340947885,106.10400301007697,105.81851314206968,116.7613371570448,117.56412473138165,126.0621960986892,127.36472887479363,94.6861317334502,0.17,9,0.3325550745639454,300
2025,ULK,17,19.23597216720539,98.6571232923133,97.56851546958397,123.41132205842463,124.27348671553789,122.51801694060572,131.37094414659884,102.1721136799622,0.6366666666666667,11,0.2606808983467346,300
2025,VIR,16,15.11244425525697,102.27171495904284,99.58324970122617,113.92117274678435,114.97058408898779,121.35559080964119,120.47306351220602,95.94536027871436,0.2833333333333333,8,0.4421444593979723,300
2025,ZAL,14,14.746027802402827,112.43852828772614,107.85792169120225,115.06947076286902,123.51328652585757,125.34825223298007,118.15745974837886,93.36321391805754,0.03,9,0.3139685487284581,300
